y_px,x_px,radius_px,i_mean,i_min,i_max,range,max_abs_rel_change_pct,shell,group
124,17,18.110770276274835,0.011320115196867845,0.00032368834945373237,0.02913125604391098,0.028807567694457248,8899.785161583322,inner,high_variation
88,21,18.110770276274835,0.012873100191936828,0.00034393652458675206,0.030386999249458313,0.03004306272487156,8735.060273394638,inner,high_variation
81,1,30.805843601498726,0.00484687237534672,0.0001423577923560515,0.011375300586223602,0.01123294279386755,7890.641325606402,mid_low,high_variation
122,1,24.08318915758459,0.0006446541725381394,1.828813947213348e-05,0.0013508829288184643,0.0013325947893463308,575.9953552974615,mid_low,high_variation
175,26,69.35416353759881,0.0022059468242437673,1.9603119483235787e-07,0.005507335998117924,0.005507139966923091,2809318.165730047,mid_high,high_variation
43,27,63.50590523722971,0.016893192473071396,6.73134854878299e-05,0.041204314678907394,0.041137001193419565,61112.57037916574,mid_high,high_variation
198,29,92.5418824100742,0.025356244665163105,0.00010570416634436697,0.05593719705939293,0.05583149289304856,52818.63035668683,outer,high_variation
18,8,88.68483523128404,0.0036126133351353927,5.766738468082622e-05,0.008210700936615467,0.00815303355193464,14138.032437329235,outer,high_variation
129,21,23.08679276123039,0.0022137373485747957,2.7173915441380814e-05,0.006117250304669142,0.006090076389227761,288.4215635299254,inner,stable
83,17,23.08679276123039,0.0021980310848448426,0.00012704558321274817,0.0063546644523739815,0.006227618869161233,309.4273178902573,inner,stable
79,22,27.16615541441225,0.0005994162738898012,2.5856061256490648e-06,0.0017856894992291927,0.0017831038931035437,99.79458244679745,mid_low,stable
133,16,27.16615541441225,0.00041171780178274277,1.5393303556265892e-06,0.0013550355797633529,0.0013534962494077263,99.87333483980892,mid_low,stable
57,30,50.21951811795888,0.0009159865493711549,2.208681689808145e-05,0.002906705951318145,0.0028846191344200633,584.3827812114441,mid_high,stable
141,7,37.0,0.0010484603352961131,6.558915629284456e-05,0.0021289209835231304,0.002063331827230286,1376.688804128881,mid_high,stable
179,21,73.02739212103907,0.0004478387055860367,3.314252899144776e-05,0.0009998620953410864,0.0009667195663496386,663.0893535319342,outer,stable
211,23,105.07616285342742,0.0004575137820211239,1.52379107021261e-05,0.0011224437039345503,0.0011072057932324242,774.1308582793614,outer,stable
